id,name,tel,district,address,longitude,latitude
0,联华超市,021-62082769,静安区,乌鲁木齐北路170号,121.442102,31.222953999999998
1,联华超市(云皓店),18640022262,浦东新区,南汇新城临港大道雪绒花路云皓路金域澜湾小区门岗,121.922611,30.913003999999997
2,联华超市(柳营路店),,静安区,柳营路511号,121.46110300000001,31.266242
3,联华超市(人民路店),021-69690166,崇明区,城桥镇人民路5-15号(崇明区政府东50米),121.401152,31.622003000000003
4,联华超市(干巷店),021-57201076,金山区,干巷新溪街南145号,121.236595,30.827981
5,联华超市(枫泾店),021-37350259,金山区,枫泾镇新泾路185-187号,121.01522,30.88777
6,联华超市(六团店),021-38931343,浦东新区,川六公路1915-1917号,121.72977900000001,31.155506
7,联华超市(闵行店),021-64524031,闵行区,吴泾镇龙吴路5530弄39号,121.4678,31.044435999999997
8,联华超市(桃浦店),,普陀区,雪松路358号,121.35,31.2815
9,联华超市(绿杨店),13917955865,普陀区,绿杨路43号,121.3459,31.283896999999996
10,联华超市(真武店),021-66376793,普陀区,武威东路470-472号,121.40151000000002,31.276303000000002
11,联华超市(万里加盟店),021-56345177,普陀区,真金路250弄14-20号,121.405782,31.267847999999997
12,联华超市(贵都店),15021803808,闵行区,颛桥镇贵都路189号、191号A间,121.40323899999999,31.078009
13,联华超市(解放西路店),021-67180093,奉贤区,南桥镇解放西路627号,121.44296200000001,30.910377
14,联华超市(江桥店),021-59114654,嘉定区,江桥镇华江路39号,121.34483600000002,31.256358000000002
15,联华超市(春旺百货店),021-52386700,长宁区,安化路533号,121.41901399999999,31.215690000000002
16,联华超市,,普陀区,凯旋北路1600-8号,121.41230700000001,31.229508000000003
17,联华超市(安宁路850号店),15021020900,闵行区,安宁路850号一楼Q2摊位,121.41357099999999,31.020671999999998
18,联华超市,,闵行区,莘庄宝城路454号(莘朱路宝城路口),121.390753,31.109928000000004
19,联华超市,13564626512,浦东新区,周邓公路南50米,121.64158,31.120207
20,联华超市,13052005012,浦东新区,锦绣路2466弄60号,121.541226,31.183469
21,联华超市(浦东南路店),,浦东新区,浦东南路4407号一层,121.500247,31.181657
22,联华超市,,静安区,平顺路182号,121.45228700000001,31.311754999999998
23,联华超市,,松江区,九亭大街387号,121.33223000000001,31.130245000000002
24,联华超市(万航店),021-52550070,长宁区,万航渡路1467号,121.420429,31.224522999999998
25,联华超市(江苏路店),13918601738,长宁区,长宁路396弄19-67号,121.425195,31.223959000000004
26,联华超市(长宁路),15857855808,静安区,长宁路217-1,121.428173,31.225386
27,联华超市(中山桥店),,普陀区,内环高架路与内环高架路出口交叉口东50米,121.476499,31.271129
28,联华超市,,杨浦区,黄兴路18号附近,121.532928,31.270383000000002
29,联华超市(秀沿店),021-68070496,浦东新区,秀沿路2505,121.602272,31.137669
30,联华超市(莲溪店),021-68632082,浦东新区,莲园路与莲溪路交叉口旁,121.560392,31.186031
31,联华超市(川环店),,浦东新区,川沙新镇南桥路438号,121.703028,31.190782000000002
32,联华超市(新锦绣店),021-50675357,浦东新区,梅花路251号,121.543025,31.208686
33,联华超市(环桥路),18217294679,浦东新区,康桥镇环桥路1143号一层,121.60442900000001,31.136232
34,联华超市(川沙店),13681826992,浦东新区,川沙路4825号地下一层号7-2室,121.69811999999999,31.19525
35,联华超市(金杨店),021-50500147,浦东新区,金杨路778号,121.58358100000001,31.253682
36,联华超市(千星店),,浦东新区,华星路348-358号,121.764423,31.118695000000002
37,联华超市(大学城四期店),,松江区,大学城文汇路300弄38号楼,121.220868,31.049634
38,联华超市(恒锦店),,静安区,蒙古路35号地下1、1层,121.47019499999999,31.243496
39,联华超市(广福店),4001679998,黄浦区,江西中路131号,121.487486,31.234068
40,联华超市(君庭店),13361811466,嘉定区,安亭镇荣轩路55号、57号,121.164061,31.294311999999998
41,联华超市(凤凰街店),021-56851339,崇明区,凤凰街198号,121.688084,31.387307
42,联华超市(周泾路店),,闵行区,纪王镇(近周泾路),121.264918,31.241478999999998
43,联华超市(妙栏店),021-58956520,浦东新区,妙境路758号一层103室,121.6919,31.186807
44,联华超市(崧雅店),021-39289231,青浦区,夏家宅路与崧雅路交叉口西北50米,121.15344099999999,31.164668
45,联华超市(望钱店),,奉贤区,南桥光明望钱路278号,121.504129,30.909428000000002
46,联华超市,,浦东新区,晨阳路199号附近,121.753023,31.176270000000002
47,联华超市(市台路店),021-36161700,宝山区,市台路502-506号,121.350187,31.316084999999998
48,联华超市(陈镇店),,崇明区,弘道中路与陈彷公路交叉口东南100米,121.806468,31.499209999999998
49,联华超市(桥梅店),15720855199,杨浦区,临青路与锦州湾路交叉口西100米,121.539437,31.267256
50,联华超市,,闵行区,东川路500号,121.45149599999999,31.033434999999997
51,联华超市,,松江区,沪亭北路607弄31号,121.31508999999998,31.146140000000003
52,联华超市,021-52795555,普陀区,桃浦路810号,121.387221,31.260097
53,联华超市(三彩路店),021-50181120,浦东新区,三林镇三彩路51-53号,121.497896,31.126405
54,联华超市(特惠店),021-68683961,浦东新区,临沂路161号(近浦三路),121.512075,31.194433
55,联华超市(张杨店),021-55087569,虹口区,天宝路466弄8号102A虹关路342号,121.496693,31.265926
56,联华超市(铭申店),021-50682868,浦东新区,张杨路1685号(近民生路),121.544774,31.236617
57,联华超市(马陆店),021-59156565,嘉定区,马陆镇沪宜公路2208号,121.28418300000001,31.332063
58,联华超市(1号口),15001722218,浦东新区,金高路510号,121.610396,31.289895
59,联华超市(濠峰店),,浦东新区,高行镇金高路503号,121.61073200000001,31.290457
60,联华超市(高设店)(装修中),15001722218,浦东新区,高设路177-179号一楼,121.62224599999999,31.290753999999996
61,联华超市(慧芝湖店),021-56352056,静安区,平型关路1018号B1层,121.45761100000001,31.280009999999997
62,联华超市(真川店),18817989195,普陀区,梅川路1249号,121.383482,31.242192
63,联华超市(秀沿路),,浦东新区,周浦镇秀沿西路218弄18-2(中国电信信息园对面),121.535643,31.12777
64,联华超市(好日子大家园D区西南),13916400528,宝山区,菊太路1403号,121.353549,31.346193
65,联华超市(合作店),021-39606000,崇明区,合作公路1285临(崇明县庙镇人民医院西南),121.365371,31.739836999999998
66,联华超市(文苑店),13661699359,虹口区,车站北路707号,121.466734,31.297031
67,联华超市(香苑店),021-68365039,浦东新区,胜利路59、61号,121.686854,31.243506
68,联华超市(崧漪一路),,青浦区,崧漪一路与秀涓路交叉口西南50米,121.153951,31.140746999999998
69,联华超市(礼泉路),,普陀区,礼泉路712号一层,121.407467,31.254138
70,联华超市(成山店),021-38830414,浦东新区,成山路167号(近上南路),121.49313000000001,31.17127
71,联华超市(碧海店),021-50691578,浦东新区,浙桥路277号105室,121.600645,31.252029999999998
72,联华超市(良华店),021-54085885,徐汇区,宛平南路487号底层101室,121.448524,31.189525
73,联华超市(张虹路店),021-54019127,闵行区,张虹路129-3号附近,121.412352,31.192755
74,联华超市(夏朵园东南),,闵行区,银春路1955弄137号,121.393583,31.023916999999997
75,联华超市(旭祥店),,浦东新区,川周公路4302-4304号,121.581544,31.121119
76,联华超市(7号),13671688869,浦东新区,川周公路2832号,121.617475,31.142985999999997
77,联华超市(环桥店),021-68070496,浦东新区,环桥路1480号,121.60294499999999,31.141596000000003
78,联华超市(瑞金医院店),17301701626,黄浦区,瑞金二路与绍兴路交叉口东南100米,121.466182,31.210354
79,联华超市(莲花店),021-34130337,闵行区,虹桥镇莲花路9号布丁酒店旁边,121.404156,31.139120000000002
80,联华超市(怒江路店),13795342964,普陀区,金沙江路788号201单元,121.398628,31.232255
81,联华超市(上海御桥店),021-68932675,浦东新区,沪南路2420号百联东郊购物中心B1,121.563938,31.154626
82,联华超市(奎照路店),18621192270,虹口区,奎照路761-763号,121.47083300000001,31.300425
83,联华超市(鹤望路店),,嘉定区,鹤望路455-459号,121.323699,31.244706
84,联华超市,15221637339,浦东新区,金高路1085号,121.610171,31.281323999999998
85,联华超市(川环南路店),021-58362567,浦东新区,川沙新镇绣川路1111号绿海家园南门,121.70850300000001,31.186590999999996
86,联华超市(上南店),18217294247,浦东新区,耀华路528号,121.48191499999999,31.171965999999998
87,联华超市,021-66517266,静安区,彭浦镇场中路3258号,121.433783,31.303738
88,联华超市(清峪路店),13758908584,普陀区,清峪路608-612号,121.36626000000001,31.242337
89,联华超市(东方商厦店),021-69711693,青浦区,公园路700号东方商厦地下一楼,121.112279,31.14847
90,联华超市,13341944409,闵行区,浦江镇沈杜公路4239号,121.51428700000001,31.060124
91,联华超市(光明路店),021-38860002,浦东新区,高东光明路835号,121.62591100000002,31.325377000000003
92,联华超市(隆德路店),021-52353371,普陀区,隆德路157-159,121.42128100000001,31.229601000000002
93,联华超市,13818557173,静安区,平陆路298-308号101室,121.44716299999999,31.284583
94,联华超市,,浦东新区,园一路与园恒路交叉口北100米,121.630096,31.316343
95,联华超市(宜君店),021-56054557,普陀区,宜君路与黄陵路交叉口西北50米,121.42806200000001,31.263919
